,CENSUS BLOCK,TOTAL POPULATION,bus_within_001,cof_within_001,closest_el,dist_to_closest_el,daily_rides_closest_el,best_shops_under_001,block_lat,block_lon,crime_count,dist_to_closest_library,db_labels,pca_one,pca_two
282,106001002,0,5,0,Morse,0.002275363584232082,3845.4347892720307,0,42.006115499933465,-87.6659378635177,2,0.008061945803980564,8,0.6575660379571906,0.303374016574228
1539,305003015,0,7,0,Bryn Mawr,0.0036514545270946996,4072.403314917127,0,41.98557100001604,-87.66042445451106,2,0.005757545472910408,8,0.879679318320922,0.3453516631779397
2738,503001007,15,9,0,Rockwell,0.012385888739920858,1293.702362687941,0,41.95894611109096,-87.68888300016913,1,0.007923620694548106,12,0.7690982428215376,0.1207750928466016
4076,705003011,21,8,0,Diversey,0.012470125266233367,4045.281528076097,0,41.92908624985127,-87.6619553751175,1,0.007336685881519145,12,0.7033365039170736,0.24669640603537313
4142,707002006,0,6,0,Paulina,0.01768805554706887,1986.4891070880637,0,41.9282740556917,-87.67324611123877,4,0.014527938353403158,11,0.6919860334014659,-0.36307008987153994
4675,813002001,0,9,0,Clark/Division,0.016913909145678474,6600.007060629317,0,41.89968690899746,-87.61873118185686,1,0.006520144244070991,12,0.730670673416198,0.018694724530531795
4676,813002002,0,9,0,Clark/Division,0.01677386685708626,6600.007060629317,0,41.89968159979406,-87.61887653334885,1,0.006369483548674282,12,0.7362993808011926,0.030174010712089073
4679,813002005,0,10,0,Clark/Division,0.01808333330496481,6600.007060629317,0,41.89899277783321,-87.61825588886182,1,0.00630130607485313,12,0.8114389586391484,-0.02577174737549762
4938,818002014,0,6,0,Clark/Division,0.010701800281033513,6600.007060629317,0,41.89772010003251,-87.63591390031354,2,0.006725185126022382,8,0.6816679875986852,0.22249346217132868
6909,1201003018,0,6,0,Jefferson Park,0.03162915420047341,5428.548634550476,0,41.99713646171639,-87.76601869248408,0,0.004136378721469214,18,0.20286912429218135,0.07270890247292561
6987,1202001037,22,8,0,Jefferson Park,0.03159272710185235,5428.548634550476,0,41.99802113619874,-87.76509759090311,0,0.0040999516228481525,18,0.4137892561062198,0.17466121080061262
7791,1404005016,22,9,0,Jefferson Park,0.01720708350478617,5428.548634550476,0,41.97059583321671,-87.7437230832785,1,0.007802561086748483,12,0.7251910806881825,0.11533579086029994
8410,1504011000,8,8,0,Jefferson Park,0.009278400084575367,5428.548634550476,0,41.96820006656753,-87.76773646665211,1,0.006784879062657012,12,0.7369642649268787,0.22094218925622958
9272,1604002017,3,7,0,Kimball,0.02100579977135908,3272.478661344796,0,41.95546560023398,-87.72163540000534,1,0.0062547290829542135,21,0.5156800359117815,0.08207415157127526
9608,1608005000,20,7,0,Kimball,0.01623791675329045,3272.478661344796,0,41.95361299975465,-87.71111508349206,1,0.0061181879096565694,21,0.6003925217446536,0.3004989336837248
10969,1903002015,17,7,0,Jefferson Park,0.03925246660671178,5428.548634550476,0,41.935474466685385,-87.7567990667079,0,0.0056084127705986475,18,0.1870871532675628,-0.03214431609648387
12551,2203002017,16,9,0,Logan Square,0.018745166672850644,5034.332208071199,0,41.925103833255754,-87.69442000007139,1,0.009025841658541367,12,0.6660674201633959,-0.033159309975084615
12667,2206011008,0,6,0,Logan Square,0.005959091030952379,5034.332208071199,0,41.924907181807605,-87.70967927283856,2,0.006430082556775574,8,0.7457097977246357,0.3104691000515243
12960,2211001003,14,7,0,Logan Square,0.006578312789145002,5034.332208071199,0,41.92447774984686,-87.709869062636,2,0.007049304314968197,8,0.831153997358938,0.33692482271321345
13584,2305002005,0,7,0,Laramie,0.040386692479891906,1151.31466707579,0,41.910497153792754,-87.73793346131286,0,0.004462106834964175,18,0.17926666826523077,-0.1170455237985918
14299,2409001029,0,5,0,Conservatory,0.03250642116970681,714.3289845960389,0,41.900791052648714,-87.699903631479,4,0.012977421169701131,11,0.4681157457713574,-0.44221994938643483
15905,2508001002,0,4,0,Laramie,0.02432246670210958,1151.31466707579,0,41.90932319997871,-87.7528237332766,4,0.016081253611623936,11,0.39460700671209853,-0.47545812788611147
16244,2514004023,0,6,0,Ridgeland,0.012862833220729897,1075.351189562548,0,41.88729312490859,-87.77093229168786,2,0.007199453065616979,8,0.6435395423596486,0.16114570986310178
